authoritativeMN,identifier
urn:node:SANPARKS,judithk.694.5
urn:node:SANPARKS,peggym.110161.2
urn:node:SANPARKS,peggym.113.9
urn:node:SANPARKS,judithk.1056.11
urn:node:SANPARKS,nicolavw.5.1
urn:node:SANPARKS,judithk.1537.2
urn:node:SANPARKS,peggym.1026.1
urn:node:SANPARKS,peggym.110118.3
urn:node:SANPARKS,judithk.1291.2
urn:node:SANPARKS,peggym.78.5
urn:node:SANPARKS,peggym.1108.79
urn:node:SANPARKS,knp.1.1
urn:node:SANPARKS,peggym.109857.3
urn:node:SANPARKS,Nikkis.3.2
urn:node:SANPARKS,judithk.1231.1
urn:node:SANPARKS,judithk.129.6
urn:node:SANPARKS,peggym.126.18
urn:node:SANPARKS,peggym.84.7
urn:node:SANPARKS,peggym.142.5
urn:node:SANPARKS,peggym.110154.3
urn:node:SANPARKS,peggym.86.5
urn:node:SANPARKS,judithk.1307.2
urn:node:SANPARKS,judithk.723.6
urn:node:SANPARKS,peggym.109872.10
urn:node:SANPARKS,judithk.132.7
urn:node:SANPARKS,peggym.49.12
urn:node:SANPARKS,judithk.72.8
urn:node:SANPARKS,judithk.1468.6
urn:node:SANPARKS,judithk.1567.6
urn:node:SANPARKS,peggym.1010.1
urn:node:SANPARKS,judithk.1539.5
urn:node:SANPARKS,peggym.142.5
urn:node:SANPARKS,judithk.40.58
urn:node:SANPARKS,peggym.1224.35
urn:node:SANPARKS,peggym.1000.1
urn:node:SANPARKS,judithk.1246.1
urn:node:SANPARKS,peggym.109824.2
urn:node:SANPARKS,judithk.1300.3
urn:node:SANPARKS,judithk.1577.2
urn:node:SANPARKS,judithk.937.21
urn:node:SANPARKS,peggym.84.5
urn:node:SANPARKS,judithk.35.6
urn:node:SANPARKS,peggym.109821.4
urn:node:SANPARKS,judithk.694.5
urn:node:SANPARKS,judithk.1723.3
urn:node:SANPARKS,peggym.1029.1
urn:node:SANPARKS,judithk.685.5
urn:node:SANPARKS,judithk.814.4
urn:node:SANPARKS,peggym.1108.80
urn:node:SANPARKS,judithk.812.4
urn:node:SANPARKS,nicolavw.38.1
urn:node:SANPARKS,Nikkis.3.2
urn:node:SANPARKS,peggym.1206.8
urn:node:SANPARKS,zishane.20.1
urn:node:SANPARKS,judithk.1288.3
urn:node:SANPARKS,judithk.685.5
urn:node:SANPARKS,judithk.1761.2
urn:node:SANPARKS,judithk.1293.1
urn:node:SANPARKS,peggym.1108.100
urn:node:SANPARKS,judithk.615.10
urn:node:SANPARKS,knp.3.1
urn:node:SANPARKS,judithk.58.12
urn:node:SANPARKS,peggym.109895.4
urn:node:SANPARKS,peggym.1162.62
urn:node:SANPARKS,judithk.1268.2
urn:node:SANPARKS,judithk.1466.5
urn:node:SANPARKS,peggym.1001.1
